datetime,DK1,SYS,SE1,SE2,SE3,SE4,FI,DK2,Oslo,Kr.sand,Bergen,Molde,Tr.heim,TromsÃ¸
2014-11-30,3295.563888888889,3088.413888888889,3182.6388888888887,3182.6388888888887,3256.176388888889,3276.9319444444445,3620.0222222222224,3463.6069444444443,2942.05,2929.55,2939.2555555555555,3217.0125,3217.0125,3204.8930555555557
2014-12-31,2682.9663978494623,3067.2889784946237,3150.6344086021504,3150.6344086021504,3164.1478494623657,3171.6922043010754,3640.1666666666665,3083.1989247311826,2947.8400537634407,2945.3521505376343,2946.6922043010754,3153.087365591398,3153.087365591398,3138.255376344086
2015-01-31,2652.1881720430106,2702.2916666666665,2730.8897849462364,2730.8897849462364,2751.809139784946,2817.244623655914,3220.3293010752686,2831.266129032258,2557.880376344086,2552.2956989247314,2553.1115591397847,2730.694892473118,2730.694892473118,2715.7110215053763
2015-02-28,2410.965773809524,2419.6011904761904,2388.936011904762,2388.936011904762,2446.5877976190477,2516.840773809524,3071.4196428571427,2562.0208333333335,2366.34375,2371.4880952380954,2364.8958333333335,2417.7574404761904,2417.7574404761904,2395.6413690476193
2015-03-31,2570.9394347240914,2381.7187079407804,2405.528936742934,2405.528936742934,2474.250336473755,2524.1036339165544,2894.678331090175,2711.251682368775,2321.9663526244954,2321.209959623149,2310.0188425302827,2382.6581426648722,2382.6581426648722,2370.7967698519515
2015-04-30,2593.527777777778,2413.7930555555554,2421.511111111111,2421.511111111111,2470.920833333333,2533.1472222222224,2953.676388888889,2673.223611111111,2343.990277777778,2336.972222222222,2337.1694444444443,2453.1319444444443,2453.1319444444443,2395.313888888889
2015-05-31,2294.8239247311826,2169.3655913978496,2156.6545698924733,2156.6545698924733,2231.5456989247314,2364.537634408602,2716.2311827956987,2461.6438172043013,2086.8548387096776,2087.0309139784945,2074.619623655914,2220.2594086021504,2220.2594086021504,2136.0389784946237
2015-06-30,1897.4083333333333,1572.651388888889,1607.3097222222223,1607.3097222222223,1684.4305555555557,1898.9125,2389.3125,2027.6555555555556,1478.4611111111112,1478.4611111111112,1476.236111111111,1632.6763888888888,1632.6763888888888,1528.8708333333334
2015-07-31,1577.1344086021506,1331.2352150537633,1300.6787634408602,1300.6787634408602,1314.399193548387,1336.279569892473,2951.319892473118,1630.864247311828,1268.907258064516,1271.3548387096773,1262.0456989247311,1314.858870967742,1314.858870967742,1276.991935483871
2015-08-31,2151.0416666666665,1753.5147849462367,1933.1908602150538,1933.1908602150538,2048.337365591398,2107.7002688172042,3319.3010752688174,2373.67876344086,1536.5967741935483,1550.8172043010752,1529.1653225806451,1880.5362903225807,1880.5362903225807,1650.8024193548388
